"name","date","url","author","author_url","ablum_name","ablum_link"
"Largo from Winter (The Four Seasons)","发行时间：1997-02-03","http://music.taihe.com/song/100427057","New York Philharmonic,Leonard Bernstein","/artist/87981277","Nocturne","/album/100424965"
"追明天","发行时间：2000-09-01","http://music.taihe.com/song/1005297","林志颖","/artist/1088","去走走","/album/112071"
"I Can'T Help It (If I'M Still In Love With You)","发行时间：2008-04-17","http://music.taihe.com/song/10055602","Hank Williams","/artist/708535","Lost Highway And Other Live Favourites","/album/10037787"
"好久不见","发行时间：2005-05-19","http://music.taihe.com/song/1005647","5566","/artist/82412","好久不见","/album/7289104"
"月出","发行时间：2013-11-12","http://music.taihe.com/song/100574544","朱哲琴","/artist/1250","月出","/album/100574547"
"你还要我怎样","发行时间：2013-11-11","http://music.taihe.com/song/100575177","薛之谦","/artist/2517","意外","/album/93104033"
"有没有","发行时间：2013-11-11","http://music.taihe.com/song/100575185","薛之谦","/artist/2517","意外","/album/93104033"
"潮流季","发行时间：2013-11-11","http://music.taihe.com/song/100575227","薛之谦","/artist/2517","意外","/album/93104033"
"等我回家","发行时间：2013-11-11","http://music.taihe.com/song/100575264","薛之谦","/artist/2517","意外","/album/93104033"
"我想起你了","发行时间：2013-11-11","http://music.taihe.com/song/100575276","薛之谦","/artist/2517","意外","/album/93104033"
"其实","发行时间：2013-11-11","http://music.taihe.com/song/100575294","薛之谦","/artist/2517","意外","/album/93104033"
"Safe","发行时间：2006-02-02","http://music.taihe.com/song/10059245","The House Of Love","/artist/441913","The Fontana Years","/album/10037834"
"Closing This Memory Down","发行时间：2002-08-19","http://music.taihe.com/song/1006087","Lee Ann Womack","/artist/249903","Something Worth Leaving Behind","/album/117408"
"男人哭吧不是罪","发行时间：2000-08-01","http://music.taihe.com/song/1006104","刘德华","/artist/1224","男人的爱","/album/2020911"
"She Was My Baby (He Was My Friend)","发行时间：2008-04-16","http://music.taihe.com/song/10064665","Jerry Lee Lewis","/artist/708146","Jerry Lee Lewis - The Many Sides Of","/album/10037815"
"Hey Baby","发行时间：2008-04-16","http://music.taihe.com/song/10064677","Jerry Lee Lewis","/artist/708146","Jerry Lee Lewis - The Many Sides Of","/album/10037815"
"天意","发行时间：1994-11-01","http://music.taihe.com/song/1006473","刘德华","/artist/1224","天意","/album/196867"
"八星报喜贺贺喜","发行时间：0000-00-00","http://music.taihe.com/song/1006778","Twins","/artist/1050","８星报喜贺贺喜","/album/2478019"
"生命","发行时间：2001-12-25","http://music.taihe.com/song/1008955","林海","/artist/1740","月光边境","/album/72419"
"生来彷徨","发行时间：2013-12-02","http://music.taihe.com/song/100900023","汪峰","/artist/1157","生来彷徨","/album/100900024"
"草原的月亮","发行时间：2013-11-13","http://music.taihe.com/song/100902557","云飞","/artist/55225920","云飞传奇","/album/100902482"
"黑色毛衣","发行时间：2005-11-01","http://music.taihe.com/song/1009122","周杰伦","/artist/7994","十一月的萧邦","/album/697896"
"勇敢","发行时间：2003-06-25","http://music.taihe.com/song/1010059","张惠妹","/artist/1071","勇敢","/album/7290052"
"FLISZT: Sogno D' Amore","发行时间：1998-01-01","http://music.taihe.com/song/101013231","Franz Liszt","/artist/87979209","Love's Dream - Romantic Piano Music","/album/46881210"
"Close To You","发行时间：2006-11-13","http://music.taihe.com/song/10101652","Dionne Warwick,Mya","/artist/8068","My Friends & Me","/album/2025077"
"征婚启事","发行时间：2001-03-23","http://music.taihe.com/song/1010576","品冠","/artist/1163","自创品牌","/album/825445"
"想把我唱给你听","发行时间：2007-02-01","http://music.taihe.com/song/1010926","老狼,王婧","/artist/1314","北京的冬天","/album/7288115"
"同类","发行时间：2007-03-30","http://music.taihe.com/song/1010960","孙燕姿","/artist/1030","经典全纪录 (主打精华版)","/album/166529"
"下雪","发行时间：2005-11-25","http://music.taihe.com/song/1011063","阿杜","/artist/1115","I...Do","/album/143363"
"序幕曲-命运的深渊 (吉他演奏)","发行时间：1995-09-02","http://music.taihe.com/song/1011180","齐秦","/artist/1117","命运的深渊","/album/70697"
"我的爱","发行时间：2004-05-01","http://music.taihe.com/song/1011573","范玮琪","/artist/1119","最初的梦想","/album/179508"
"桃子","发行时间：2005-09-01","http://music.taihe.com/song/1011649","陶晶莹","/artist/1167","走路去纽约","/album/66519"
"旋律","发行时间：2007-03-30","http://music.taihe.com/song/1013878","林宇中","/artist/1319","淋雨中","/album/73681"
"分手后不要做朋友","发行时间：2013-11-03","http://music.taihe.com/song/101496666","梁文音","/artist/7910","Unfriend After The Separation","/album/105614764"
"伤心太平洋","发行时间：1998-08-28","http://music.taihe.com/song/1015932","任贤齐","/artist/1094","爱像太平洋","/album/191062"
"孤独的总和","发行时间：2013-11-21","http://music.taihe.com/song/101596497","吴汶芳","/artist/210125707","爱的生存之道  电视原声带","/album/101596419"
"了不起","发行时间：2000-09-20","http://music.taihe.com/song/1016081","羽泉","/artist/1389","冷酷到底","/album/186782"
"生命像块石头","发行时间：2013-11-15","http://music.taihe.com/song/101638279","杨坤","/artist/1380","生命像块石头","/album/101638445"
"我明白(林忆莲＆李宗盛经典对唱版)","发行时间：1996-07-01","http://music.taihe.com/song/1016606","李宗盛,林忆莲","/artist/1925","夜太黑","/album/64800"
"想你的365天","发行时间：1998-08-14","http://music.taihe.com/song/1017254","李玟","/artist/1065","碰碰看爱情","/album/2462639"
"那一年,这一天","发行时间：2004-12-31","http://music.taihe.com/song/10206479","任贤齐,舒淇","/artist/1094","两极","/album/152332"
"How Could I","发行时间：2002-07-12","http://music.taihe.com/song/10214861","Marc Anthony","/artist/9413","Marc Anthony","/album/5608002"
"心似狂潮","发行时间：2001-09-25","http://music.taihe.com/song/1021589","羽泉","/artist/1389","热爱","/album/182772"
"Traveling","发行时间：2003-07-10","http://music.taihe.com/song/10216386","Terence Blanchard","/artist/7607","People I Know","/album/10212729"
"End Credits","发行时间：2011-08-05","http://music.taihe.com/song/10217572","Hans Zimmer","/artist/2949","Pirates Of The Caribbean: On Stranger Tides (Original Motion Picture Soundtrack)","/album/10213740"
"Come Tomorrow","发行时间：2006-05-24","http://music.taihe.com/song/10217707","Barbra Streisand,Barry Gibb","/artist/9107","Guilty Pleasures","/album/5692634"
"This Is Me","发行时间：2009-03-31","http://music.taihe.com/song/10224716","Demi Lovato,Jonas Brothers","/artist/469908","Music From The 3D Concert Experience","/album/5681999"
"Football`S Coming Home (Three Lions)","发行时间：2009-03-31","http://music.taihe.com/song/10225062","Hermes House Band","/artist/807669","Footballs`S Coming Home (Three Lions)","/album/10214322"
"Run","发行时间：2008-12-08","http://music.taihe.com/song/10225223","Leona Lewis","/artist/11708","Run","/album/10215112"
"The World At Large","发行时间：2007-06-01","http://music.taihe.com/song/10227046","Modest Mouse","/artist/720280","Good News For People Who Love Bad News","/album/162912"
"盲人影院","发行时间：2004-10-01","http://music.taihe.com/song/1022918","周云蓬","/artist/55572","沉默如谜的呼吸","/album/63318"
"三寸天堂","发行时间：2011-09-01","http://music.taihe.com/song/10230112","严艺丹","/artist/449075","步步惊心原声带","/album/10230250"
"爱在末日前","发行时间：2014-01-12","http://music.taihe.com/song/1023641","神木与瞳","/artist/5850","为你而活","/album/109593"
"Sweet Little Angel","发行时间：2006-02-02","http://music.taihe.com/song/10236526","B.B. King","/artist/222989","Greatest Hits","/album/10235917"
"Why I Sing The Blues","发行时间：2006-02-02","http://music.taihe.com/song/10236530","B.B. King","/artist/222989","Greatest Hits","/album/10235917"
"Communication","发行时间：2003-03-24","http://music.taihe.com/song/10237128","The Cardigans","/artist/177938","Long Gone Before Daylight","/album/5681448"
"Please Sister","发行时间：2003-03-24","http://music.taihe.com/song/10237132","The Cardigans","/artist/177938","Long Gone Before Daylight","/album/5681448"
"Paradise Lost","发行时间：2001-10-01","http://music.taihe.com/song/1023736","MAX","/artist/2122","Moonlight","/album/175071"
"草戒指","发行时间：2008-08-22","http://music.taihe.com/song/1023856","神木与瞳","/artist/5850","为你而活","/album/109593"
"偏偏喜欢你","发行时间：1983-08-01","http://music.taihe.com/song/10240852","陈百强","/artist/2707","偏偏喜欢你","/album/10240515"
"我可以","发行时间：2006-10-06","http://music.taihe.com/song/1024227","蔡旻佑","/artist/55565","19","/album/107667"
"尘埃","发行时间：1995-07-20","http://music.taihe.com/song/10243885","沈凤仪","/artist/1843659","苦苦相逼","/album/10385836"
"御守之心","发行时间：2010-06-01","http://music.taihe.com/song/10243908","黄鸿升","/artist/2387","御守之心","/album/10386698"
"Dear Friend","发行时间：2009-11-11","http://music.taihe.com/song/10244149","Barbara Cook","/artist/92347","She Loves Me","/album/378650"
"Good Times","发行时间：2001-07-17","http://music.taihe.com/song/1024617","陈奕迅","/artist/1077","反正是我","/album/482882"
"When You'Re Walking Away","发行时间：2008-04-25","http://music.taihe.com/song/10247050","Jackie Greene","/artist/87902962","American Myth","/album/133078"
"Ready To Confess","发行时间：2008-04-23","http://music.taihe.com/song/10248078","Carina Round","/artist/458604","Slow Motion Addict","/album/10244984"
"出卖","发行时间：2000-12-25","http://music.taihe.com/song/1025072","周传雄","/artist/6919","忘记","/album/7274780"
"The Beginning Of The End","发行时间：2008-05-07","http://music.taihe.com/song/10251812","Nine Inch Nails","/artist/708051","Y34Rz3R0R3Mix3D","/album/10250458"
"The Cure","发行时间：2004-03-15","http://music.taihe.com/song/10259447","Norther","/artist/1448611","Death Unlimited","/album/161898"
"Song From A Secret Garden","发行时间：2009-07-14","http://music.taihe.com/song/10261559","Secret Garden","/artist/177878","The Best Of Secret Garden 20Th Century Masters - The Millemmium Collection","/album/10261043"
"Freezing","发行时间：2010-01-01","http://music.taihe.com/song/10263812","Mozella","/artist/833147","Belle Isle","/album/10262748"
"愿能比翼飞","发行时间：1999-01-01","http://music.taihe.com/song/1026747","张国荣,邓志玉","/artist/1092","一片痴","/album/197231"
"Sunshine","发行时间：2006-07-31","http://music.taihe.com/song/10268677","Matt Costa","/artist/844733","Sunshine","/album/10267745"
"2+2","发行时间：2006-10-02","http://music.taihe.com/song/10268681","Docemania","/artist/232649224","Docemania","/album/10267747"
"我本人","发行时间：2011-11-15","http://music.taihe.com/song/10270415","吴雨霏","/artist/1308","我本人","/album/10270417"
"Lights Up","发行时间：2014-04-11","http://music.taihe.com/song/102723216","方大同","/artist/8553","危险世界","/album/114904793"
"Macarena","发行时间：2009-07-14","http://music.taihe.com/song/10273625","Max Greger & Orchester","/artist/403241","Tanzen '97","/album/10272005"
"Paganini Rhapsody (On Caprice 24)","发行时间：2008-05-07","http://music.taihe.com/song/10279167","David Garrett","/artist/1582617","Virtuoso","/album/5681651"
"Csardas: Gypsy Dance (The Ganas Mix)","发行时间：2008-05-07","http://music.taihe.com/song/10279435","David Garrett","/artist/1582617","Virtuoso","/album/5681651"
"Sad Sexy","发行时间：2009-05-25","http://music.taihe.com/song/10280575","Dirty Three","/artist/544828","Cinder","/album/10279563"
"Moongate","发行时间：2000-10-05","http://music.taihe.com/song/10284008","Secret Garden","/artist/177878","Dawn Of A New Century","/album/10283312"
"每次都想呼喊你的名字","发行时间：2009-07-14","http://music.taihe.com/song/1028646","张学友","/artist/2507","情无四归","/album/7312436"
"想你零点零一分","发行时间：2006-10-11","http://music.taihe.com/song/10287936","张靓颖","/artist/1026","The One","/album/69428"
"Ena","发行时间：2008-04-25","http://music.taihe.com/song/10289081","Marianta Pieridi","/artist/219309","Dj / The Hits Collection","/album/10288392"
"情茧","发行时间：2008-11-28","http://music.taihe.com/song/10291224","蓝雨 ()已删除","/artist/1592","情茧","/album/609400529"
"She Will Be Loved","发行时间：2008-05-08","http://music.taihe.com/song/10302749","Maroon 5","/artist/55191","1.22.03 Acoustic","/album/10302669"
"Man In The Mirror","发行时间：2009-03-31","http://music.taihe.com/song/10305449","James Morrison","/artist/427303","Napsterlive - July 10, 2006","/album/10305417"
"过大年","发行时间：2011-09-09","http://music.taihe.com/song/10308059","红霞","/artist/475454","过大年","/album/595877947"
"雨滴","发行时间：2011-09-09","http://music.taihe.com/song/10308928","肖邦","/artist/1492853","雨滴","/album/595877956"
"Foundations","发行时间：2009-09-28","http://music.taihe.com/song/10315805","Kate Nash","/artist/176881","Miss Independent","/album/353131"
"Summit","发行时间：2009-02-09","http://music.taihe.com/song/10316651","Sky Larkin","/artist/886709","The Golden Spike","/album/10316388"
"没那么爱他","发行时间：2006-12-18","http://music.taihe.com/song/1031699","范玮琪","/artist/1119","2006韩剧超强情歌精选No.1","/album/9334512"
"第一个清晨","发行时间：2006-12-18","http://music.taihe.com/song/1031749","王力宏","/artist/1107","2006韩剧超强情歌精选No.1","/album/9334512"
"两只恋人","发行时间：2006-12-27","http://music.taihe.com/song/1032177","曹格","/artist/1292","Superman","/album/145173"
"迷茫的爱","发行时间：2011-09-13","http://music.taihe.com/song/10324502","郭玲","/artist/525018","迷茫的爱","/album/10324978"
"拉德斯基进行曲","发行时间：2011-09-13","http://music.taihe.com/song/10324664","Johann Strauss","/artist/87976103","拉德斯基进行曲","/album/595878010"
"Say U Love Me","发行时间：2013-09-13","http://music.taihe.com/song/10324760","梁心颐,王威登","/artist/6101","Say U Love Me","/album/595878019"
"梦醒时分","发行时间：2012-06-12","http://music.taihe.com/song/10352243","伍佰 & China Blue","/artist/2863","单程车票","/album/10352181"
"流水年华","发行时间：2006-06-09","http://music.taihe.com/song/1035695","洪俊扬","/artist/201272","独角兽","/album/7313635"
"The Opportunity Fair","发行时间：2006-03-21","http://music.taihe.com/song/10358267","Tamas Wells","/artist/1643","A Plea En Vendredi","/album/10358018"
"Valder Fields","发行时间：2006-03-21","http://music.taihe.com/song/10358445","Tamas Wells","/artist/1643","A Plea En Vendredi","/album/10358018"
"最接近天堂的地方","发行时间：2011-11-03","http://music.taihe.com/song/10366368","张杰","/artist/1035","最接近天堂的地方","/album/10366369"
"咱当兵的人","发行时间：2003-01-01","http://music.taihe.com/song/1036735","刘斌","/artist/15862715","咱当兵的人","/album/1036734"
"祝福属狗的小朋友","发行时间：2013-03-22","http://music.taihe.com/song/10367386","小蓓蕾组合","/artist/707709","048、儿歌曲库-十二生肖祝福歌","/album/31305362"
"逆光飞翔","发行时间：2013-11-20","http://music.taihe.com/song/103817605","范逸臣","/artist/8524","爱闪亮 电视原声带","/album/103817882"
"Poker Face","发行时间：2008-09-23","http://music.taihe.com/song/1038302","Lady Gaga","/artist/6792","The Fame","/album/85790"
"尚旧的新衫","发行时间：1995-01-24","http://music.taihe.com/song/10385833","李丽芬","/artist/1605","春天的花蕊","/album/13764951"
"白爱了","发行时间：2003-07-17","http://music.taihe.com/song/10386070","simple band","/artist/232621733","隋唐英雄传","/album/13764752"
"红色新年","发行时间：0000-00-00","http://music.taihe.com/song/10386297","无印良品","/artist/1534","滚石98凑凑热闹","/album/13745302"
"满载而归","发行时间：1999-12-01","http://music.taihe.com/song/10386402","郭英男,马兰吟唱队","/artist/2013","Difang acrooss the yellow earth 横跨黄色地球","/album/10386401"
"迎宾歌","发行时间：1999-12-01","http://music.taihe.com/song/10386403","郭英男,马兰吟唱队","/artist/2013","Difang acrooss the yellow earth 横跨黄色地球","/album/10386401"
"牵牛车","发行时间：1999-12-01","http://music.taihe.com/song/10386404","郭英男,马兰吟唱队","/artist/2013","Difang acrooss the yellow earth 横跨黄色地球","/album/10386401"
"鸽子的西西里岛","发行时间：2004-10-22","http://music.taihe.com/song/10386558","萧淑慎","/artist/2017","终极西门电影配乐原声全纪录","/album/10386555"
"我很丑,可是我很温柔","发行时间：1988-11-05","http://music.taihe.com/song/10386671","赵传","/artist/1209","我很丑,可是我很温柔","/album/10386669"
"看到日出就高歌","发行时间：1988-11-05","http://music.taihe.com/song/10386672","赵传","/artist/1209","我很丑,可是我很温柔","/album/10386669"
"英勇勋章","发行时间：1988-11-05","http://music.taihe.com/song/10386676","赵传","/artist/1209","我很丑,可是我很温柔","/album/10386669"
"我终于失去了你","发行时间：1989-06-04","http://music.taihe.com/song/10386683","赵传","/artist/1209","我终于失去了你","/album/70675"
"爱情的旅行","发行时间：2011-02-17","http://music.taihe.com/song/10386720","商东茜","/artist/555792","好起来","/album/10386717"
"把伤心打碎","发行时间：2011-09-29","http://music.taihe.com/song/10390853","袁咏琳","/artist/10604","2 Be Different","/album/10390890"
"别再惊动爱情","发行时间：2011-09-19","http://music.taihe.com/song/10394986","张栋梁","/artist/83562","别再惊动爱情","/album/8242473"
"Keep Walking or I'll Kill You","发行时间：2007-09-25","http://music.taihe.com/song/10395411","Agnes Kain","/artist/594844","Keep Walking Or I'Ll Kill You","/album/10357996"
"太阳","发行时间：1992-12-07","http://music.taihe.com/song/1039818","唐朝乐队","/artist/2577","唐朝","/album/109048"
"热浪假期","发行时间：2006-09-01","http://music.taihe.com/song/1040009","Twins","/artist/1050","Ho Hoo Tan","/album/176802"
"还记得吗","发行时间：2013-11-20","http://music.taihe.com/song/104004343","曹轩宾","/artist/10595","参宿七","/album/99895373"
"千岁寒","发行时间：2013-11-20","http://music.taihe.com/song/104004634","曹轩宾","/artist/10595","参宿七","/album/99895373"
"火力全开","发行时间：2011-09-30","http://music.taihe.com/song/10404950","王力宏","/artist/1107","火力全开","/album/10404956"
"天龙八部之宿敌","发行时间：2011-09-20","http://music.taihe.com/song/10405795","许嵩","/artist/1557","天龙八部之宿敌","/album/10405797"
"Symphony No. 7 In A Major, Op. 92: Iv. Allegro Con Brio","发行时间：2011-09-19","http://music.taihe.com/song/10420194","Leonard Bernstein,New York Philharmonic","/artist/10841","Beethoven: Symphony No. 2 In D Major, Op. 36; Symphony No. 7 In A Major, Op. 92","/album/10420105"
"Wild World (Acoustic Version)","发行时间：2011-09-24","http://music.taihe.com/song/10420204","王若琳","/artist/5984","The Things We Do For Love","/album/10420180"
"偿还","发行时间：2011-09-24","http://music.taihe.com/song/10420213","王若琳","/artist/5984","The Things We Do For Love","/album/10420180"
"Raindrops Keep Falling On My Head","发行时间：2011-09-24","http://music.taihe.com/song/10420348","王若琳","/artist/5984","The Things We Do For Love","/album/10420180"
"Lemon Tree","发行时间：2011-09-24","http://music.taihe.com/song/10420350","王若琳","/artist/5984","The Things We Do For Love","/album/10420180"
"亲密爱人","发行时间：2011-09-24","http://music.taihe.com/song/10420352","王若琳","/artist/5984","The Things We Do For Love","/album/10420180"
"三个人的晚餐","发行时间：2011-09-24","http://music.taihe.com/song/10420353","王若琳","/artist/5984","The Things We Do For Love","/album/10420180"
"一生守候","发行时间：2011-09-24","http://music.taihe.com/song/10420354","王若琳","/artist/5984","The Things We Do For Love","/album/10420180"
"La Fee Verte","发行时间：2011-09-19","http://music.taihe.com/song/10440745","Kasabian","/artist/176856","Velociraptor!","/album/10440483"
"但愿人长久","发行时间：1999-06-01","http://music.taihe.com/song/1044213","王菲","/artist/45561","但愿人长久","/album/7315358"
"Short Skirt/Long Jacket","发行时间：2001-07-24","http://music.taihe.com/song/10455696","Cake","/artist/1471747","Comfort Eagle","/album/10454767"
"执着","发行时间：2005-02-26","http://music.taihe.com/song/1045880","田震","/artist/1156","红星音乐十周年纪念特辑","/album/2462875"
"一生爱你千百回","发行时间：1997-08-01","http://music.taihe.com/song/1046120","梅艳芳","/artist/1101","女人花","/album/193414"
"游子吟","发行时间：2013-03-22","http://music.taihe.com/song/10467787","小蓓蕾组合","/artist/707709","008、儿歌曲库-娃娃唱唐诗","/album/83682627"
"If You Are Happy","发行时间：2013-03-22","http://music.taihe.com/song/10468442","小蓓蕾组合","/artist/707709","030、儿歌曲库-英语、粤语对着唱","/album/83688720"
"Twinkle Twinkle Little Star (小星星)","发行时间：2013-03-22","http://music.taihe.com/song/10468798","小蓓蕾组合","/artist/707709","055 儿歌曲库-双语儿歌对对唱","/album/10494044"
"飘零","发行时间：1998-11-01","http://music.taihe.com/song/1047288","梅艳芳","/artist/1101","床前明月光","/album/192141"
"恋人未满","发行时间：2011-09-23","http://music.taihe.com/song/10480542","容祖儿","/artist/1099","Joey & Joey","/album/8069105"
"Give Me One Reason","发行时间：1995-10-31","http://music.taihe.com/song/10486010","Tracy Chapman","/artist/821673","New Beginning","/album/127615"
"火红的萨日朗","发行时间：2012-09-26","http://music.taihe.com/song/10489236","乌兰托娅","/artist/1610","新套马杆","/album/27845514"
"第一夫人","发行时间：2011-11-03","http://music.taihe.com/song/10490382","张杰","/artist/1035","最接近天堂的地方","/album/10366369"
"每当我走过老师窗前","发行时间：2013-03-22","http://music.taihe.com/song/10493667","小蓓蕾组合","/artist/707709","001、儿歌曲库-童歌经典","/album/10493656"
"洋娃娃和小熊跳舞","发行时间：2013-03-22","http://music.taihe.com/song/10493668","小蓓蕾组合","/artist/707709","001、儿歌曲库-童歌经典","/album/10493656"
"小草","发行时间：2013-03-22","http://music.taihe.com/song/10493669","小蓓蕾组合","/artist/707709","001、儿歌曲库-童歌经典","/album/10493656"
"欢乐颂","发行时间：2013-03-22","http://music.taihe.com/song/10493835","小蓓蕾组合","/artist/707709","057、儿歌曲库-童歌经典","/album/10493834"
"小号手之歌","发行时间：2013-03-22","http://music.taihe.com/song/10493850","小蓓蕾组合","/artist/707709","儿歌曲库-童歌经典","/album/83681239"
"我是一条小青龙","发行时间：2013-03-22","http://music.taihe.com/song/10493860","小蓓蕾组合","/artist/707709","001、儿歌曲库-童歌经典","/album/10493656"
"丢手绢","发行时间：2013-03-22","http://music.taihe.com/song/10493870","小蓓蕾组合","/artist/707709","002、儿歌曲库-童歌经典","/album/10493674"
"少年少年祖国的春天","发行时间：2013-03-22","http://music.taihe.com/song/10493874","小蓓蕾组合","/artist/707709","002、儿歌曲库-童歌经典","/album/10493674"
"找朋友","发行时间：2013-03-22","http://music.taihe.com/song/10493883","小蓓蕾组合","/artist/707709","003、儿歌曲库-童歌经典","/album/10493677"
"歌声与微笑","发行时间：2013-03-22","http://music.taihe.com/song/10493887","小蓓蕾组合","/artist/707709","003、儿歌曲库-童歌经典","/album/10493677"
"喂鸡","发行时间：2013-03-22","http://music.taihe.com/song/10493893","小蓓蕾组合","/artist/707709","儿歌曲库-童歌经典","/album/83681239"
"卖报歌","发行时间：2013-03-22","http://music.taihe.com/song/10493895","小蓓蕾组合","/artist/707709","儿歌曲库-童歌经典","/album/83681239"
"拔萝卜","发行时间：2013-03-22","http://music.taihe.com/song/10493900","小蓓蕾组合","/artist/707709","儿歌曲库-童歌经典","/album/83681239"
"针线包是传家宝","发行时间：2013-03-22","http://music.taihe.com/song/10493912","小蓓蕾组合","/artist/707709","005、儿歌曲库-娃娃唱红歌","/album/10493683"
"听妈妈讲那过去的事情","发行时间：2013-03-22","http://music.taihe.com/song/10493955","小蓓蕾组合","/artist/707709","015、儿歌曲库-童歌经典","/album/83685916"
"西游记","发行时间：2013-03-22","http://music.taihe.com/song/10494050","小蓓蕾组合","/artist/707709","057、儿歌曲库-童歌经典","/album/10493834"
"去远方","发行时间：2013-03-22","http://music.taihe.com/song/10494061","小蓓蕾组合","/artist/707709","007、儿歌曲库-童歌经典","/album/10493700"
"小兔儿乖乖","发行时间：2013-03-22","http://music.taihe.com/song/10494067","小蓓蕾组合","/artist/707709","010、儿歌曲库-趣味动物歌曲","/album/83683532"
"跷跷板","发行时间：2013-03-22","http://music.taihe.com/song/10494073","小蓓蕾组合","/artist/707709","013、儿歌曲库-台湾童歌金曲","/album/10493717"
"叮当","发行时间：2013-03-22","http://music.taihe.com/song/10494174","小蓓蕾组合","/artist/707709","057、儿歌曲库-童歌经典","/album/10493834"
"静夜思","发行时间：2013-03-22","http://music.taihe.com/song/10494185","小蓓蕾组合","/artist/707709","008、儿歌曲库-娃娃唱唐诗","/album/83682627"
"一分钱","发行时间：2013-03-22","http://music.taihe.com/song/10494201","小蓓蕾组合","/artist/707709","015、儿歌曲库-童歌经典","/album/83685916"
"捉泥鳅","发行时间：2013-03-22","http://music.taihe.com/song/10494263","小蓓蕾组合","/artist/707709","007、儿歌曲库-童歌经典","/album/10493700"
"两只老虎","发行时间：2013-03-22","http://music.taihe.com/song/10494295","小蓓蕾组合","/artist/707709","010、儿歌曲库-趣味动物歌曲","/album/83683532"
"哈巴狗","发行时间：2013-03-22","http://music.taihe.com/song/10494297","小蓓蕾组合","/artist/707709","011、儿歌曲库-趣味动物歌曲","/album/83684336"
"三轮车老太太","发行时间：2013-03-22","http://music.taihe.com/song/10494309","小蓓蕾组合","/artist/707709","011、儿歌曲库-趣味动物歌曲","/album/83684336"
"粉刷匠","发行时间：2013-03-22","http://music.taihe.com/song/10494344","小蓓蕾组合","/artist/707709","044、儿歌曲库-幼儿唱游歌曲","/album/83696110"
"十二生肖圆舞曲","发行时间：2013-03-22","http://music.taihe.com/song/10494357","小蓓蕾组合","/artist/707709","010、儿歌曲库-趣味动物歌曲","/album/83683532"
"轮滑小将","发行时间：0000-00-00","http://music.taihe.com/song/10494375","李颜龙,郭嘉妮","/artist/56431","儿歌曲库46","/album/10495290"
"七色光","发行时间：2013-03-22","http://music.taihe.com/song/10494382","小蓓蕾组合","/artist/707709","057、儿歌曲库-童歌经典","/album/10493834"
"英文字母歌","发行时间：2013-03-22","http://music.taihe.com/song/10494403","小蓓蕾组合","/artist/707709","015、儿歌曲库-童歌经典","/album/83685916"
